Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Afghanistan,,,34,,,16,,,,27,68,77,81,81,203,,,,,,586
Algeria,245,380,99,145,237,92,202,506,1510,1015,690,981,652,305,313,549,1588,855,1140,,11503
Angola,56,76,18,,,,,,,,,,,,,27,98,63,188,125,652
Argentina,,,,,,,,,,,,14,,,,,,,,,14
Armenia,,,,,68,,,,,46,46,2,,16,,,110,18,,228,533
Azerbaijan,,,,,,,,68,18,2,97,477,256,325,570,210,7,109,53,,2192
Bahrain,,,,,,,,,,,,,,,,,10,,21,,31
Bangladesh,122,39,14,,,,21,20,,,,28,20,50,,73,149,93,,34,661
Belarus,,,,,,,116,,,,,75,75,75,66,87,112,147,141,331,1225
Brazil,,,,,,,,,,,77,18,36,,35,6,5,,,,175
Burkina Faso,,,,,,12,,,,,,,2,,,,,,14,,27
Cameroon,,,,,,,,,,,,,,7,27,,11,,,,45
Chad,,,,,,,14,,,,7,,,,,,,,,,20
China,2231,2500,2541,2076,2887,3156,2465,1316,1514,1094,731,783,653,739,630,840,736,1090,1404,688,30071
Colombia,,,41,,,,,27,,34,,,,,,,,,,,101
Congo,,,,,,,,,,,,,,7,7,,,,,,14
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0,,0
Croatia,,,,,,,,14,54,,,,,,,,,,,,68
Cuba,,,,,8,,,,,,,,,,,,,,,,8
Cyprus,,109,,,,,20,,,,43,22,6,,,,,,,,201
Czechia,,,,60,,168,26,,,,,,,,,,,,,,253
Djibouti,,,3,,,,,,,,,,,,,,,,,,3
Ecuador,,,,,,,,,2,2,,14,,,,,,,,,18
Egypt,,,60,60,60,135,60,75,,8,367,416,68,27,110,6,178,1111,813,763,4315
Equatorial Guinea,,,,,,,7,,,,,,,,,,,,7,,14
Eritrea,,57,,,70,3,,,,,,,,,,,,,,,130
Ethiopia,88,,,174,230,,,,,,54,,,,,,,,,69,615
Ghana,,,,,27,,,,,,,,,41,,,,,,,68
Greece,299,136,47,20,22,63,,,,,,,,,,,,,,,587
Guinea,,,,,,,,,,,,1,,,,,,,,,1
Hungary,,,,,51,,,,,,,,,,7,,,,,,58
India,655,924,1799,2113,1476,693,928,1750,1520,1389,2295,2484,3804,3853,1720,1962,1888,1411,1102,1172,34936
Indonesia,,,11,229,27,,,,41,165,191,59,21,351,54,,,,,,1147
Iran,341,298,92,85,15,15,368,283,15,50,37,33,15,4,4,4,413,4,4,3,2078
Iraq,,,,,,,68,27,95,,68,81,,51,333,472,352,173,493,175,2386
Jordan,,8,,,,,,,,60,80,40,44,,,,,,60,60,352
Kazakhstan,121,136,20,,29,38,27,71,8,19,50,45,75,54,28,441,198,163,267,305,2094
Kenya,,,,,,,,,,,20,,,,,,,,,,20
Kuwait,,,,,,,,,,,36,65,,,,48,,,,,149
Kyrgyzstan,,,,9,,3,,,,,,,,,,4,9,13,1,14,53
Laos,7,,,0,,4,,,,,,14,,,,,,,58,18,101
Latvia,,,,,4,4,,,,,,,,,,,,,,,9
Libya,,,,,,1,13,13,13,,15,,,36,,,,,,,90
Malaysia,,1,46,16,,,,407,408,407,,,2,12,,,,,,,1298
Mali,,,,,,,,,,,,,,,,,,23,,,23
Mexico,69,,2,,,,34,,,,7,,20,,,,,,,,132
Mongolia,,,,,,,,,14,,27,3,79,,,74,,,,17,212
Morocco,,6,,,,69,27,27,27,,,,,,,,,,,,156
Mozambique,,,,,,,,,,,,,,,,,,,,7,7
Myanmar,,87,134,,120,137,151,127,14,14,44,380,144,55,28,12,,66,75,4,1591
NATO**,,,,,,,58,,,,,,,,,,,,,,58
Nepal,,,,,7,,,,,,,,,,,14,,,,,20
Nicaragua,,,,,,,,,,14,,,,,13,15,86,7,,,134
Niger,,,,,,,,,7,,,,,,,,,,,,7
Nigeria,36,1,2,27,,,,,,,,,,,58,87,,24,24,24,281
Northern Alliance (Afghanistan)*,19,207,,,,,,,,,,,,,,,,,,,226
North Korea,18,28,9,8,8,5,15,5,5,4,1,,,,,,,,,,103
Pakistan,,,99,,81,,,7,20,7,31,31,32,31,23,44,49,44,70,44,612
Palestine,,,,,,,,2,,14,6,,,,,,,,,,21
Peru,,1,,,,,,,,12,,59,,,54,88,20,,,,233
Poland,23,23,8,4,4,,,,19,,20,14,,,,,,,,,114
Qatar,,,,,,,,,,,,,,,,,,4,4,4,12
Romania,1,,,,,,,,,,,,,,,,,,,,1
Rwanda,14,,,,,,,,,,,,,,14,27,,,,,54
Saudi Arabia,,,,,,,,,,,,,,,,,,,,6,6
Senegal,,,,,,14,,18,,,,,,,,,,,,,32
Serbia,1,,,,,,,,,,,,,,,,14,65,,80,159
Slovakia,,,27,,,,,,,6,6,,,,,,,,,,39
Slovenia,,,,0,,,,,,,34,,,,,,,,,,34
South Africa,,,,,,,,,,,,,,,50,,,,,,50
South Korea,29,,,10,32,86,102,,,,,,,,,,,,,,259
South Sudan,,,,,,,,,,,,61,,,,18,4,,,,82
Sri Lanka,,63,,,,,,,,,,,,20,,,,,,,83
Sudan,,91,31,86,277,92,22,20,22,36,69,73,46,,,51,51,24,0,,989
Syria,9,8,25,25,5,15,26,,62,89,366,410,496,496,2,16,3,25,181,,2258
Tajikistan,,,,,,,13,7,,34,,,,,,,8,19,,3,83
Thailand,,,,,,,,,3,,,20,,,,14,,,14,,50
Turkey,,,,,,,,,,16,16,,,,,,,,,280,312
Turkmenistan,,,,,,,,,,36,27,135,56,13,17,50,36,,,,370
UAE,44,,,,,,,,1,149,324,126,126,126,,,,,40,80,1016
Uganda,,,,,18,,,,,14,,442,154,20,,,,,,,647
Ukraine Rebels*,,,,,,,,,,,,,,,24,,,,,,24
United Kingdom,,,,,,1,1,,,,,,,,,,,,,,2
United Nations**,24,,,,,,,,,,,,,,,,,,,,24
United States,,,,,,,,,,,,,16,,,,,,,,16
Uruguay,,,,,,,7,,,,,,,,,,,,,,7
Uzbekistan,,8,9,,,,,,,,30,,,,,,,,,48,96
Venezuela,,,,,,,356,747,697,252,57,266,516,881,79,,,,,,3850
Viet Nam,2,91,54,2,298,164,16,2,168,55,151,985,768,313,1062,742,706,467,335,138,6515
Yemen,53,14,524,22,229,245,,,,,90,,,,,,,,,,1176
Zambia,,,,,,,,,,,,,,,,14,,,,,14
,,,,,,,,,,,,,,,,,,,,,
Total,4503,5291,5746,5169,6288,5229,5159,5535,6253,5066,6275,8730,8261,7986,5527,5990,6841,6015,6506,4718,121086
