Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Afghanistan,,,,,,19,,22,78,280,245,520,410,144,69,94,72,251,331,377,2913
African Union**,,,,,,,,,,,,,,,,2,,,,,2
Albania,,,,,,,,,,,,,,,,,,4,1,5,9
Algeria,22,67,59,,,,,,,,11,11,,,,5,19,,3,,197
Angola,,,,,,,,,,,,,,1,,,,1,,,2
Argentina,59,6,12,11,19,3,9,15,17,8,3,1,3,6,4,18,6,33,9,11,254
Australia,194,87,106,165,114,100,346,572,318,610,1390,996,580,138,318,836,888,964,923,1215,10862
Austria,,,65,,,,,,,,,,,,,,,,,1,66
Azerbaijan,,,,,,,,,,0,1,1,2,0,1,,,,,,4
Bahamas,33,,,,,3,,,,1,,,,,,,,,,,37
Bahrain,299,3,54,1,,63,3,26,2,,68,,,60,,15,,19,7,10,628
Bangladesh,61,,,,,,,,,,,,,56,,54,,,,,171
Belgium,18,18,37,21,9,3,3,4,6,12,3,2,6,2,2,7,4,7,1,,167
Bolivia,18,,,,,,,,,,,1,1,1,6,,,,,,26
Botswana,,15,,,,,,,,2,2,,,,,,,,2,2,22
Brazil,22,111,70,8,20,18,18,19,33,0,16,76,127,69,17,37,31,10,56,39,798
Brunei,,,,0,0,,,,,,,,,15,36,36,,,,,88
Bulgaria,,,,,,,,3,5,,,3,,,,3,,,,,14
Burkina Faso,,,,,,,3,,,,,,,,,,,,,,3
Burundi,,,,,,,,,,,,,,,,1,2,,,,3
Cameroon,,,,,,,,,,,10,,,2,,3,0,,2,4,20
Canada,157,83,37,56,70,90,68,400,350,99,197,311,181,170,202,316,128,186,64,58,3224
Central African Republic,,,,,,,9,,,,,,,,,,,,,,9
Chad,,,,,,,1,,,,,,,,6,,2,6,,,15
Chile,19,14,,8,16,,254,81,,30,132,39,38,31,61,81,18,0,44,,864
Colombia,60,264,124,96,,4,27,122,16,147,58,80,77,99,25,55,15,36,3,10,1318
Congo,,,,,,,,,,,1,,,,,,,,,,1
Costa Rica,,,,,,,,,,,,,1,,1,,,,,,2
Croatia,,55,,,,,,,,,,,,,22,,20,2,2,,101
Czechia,2,35,23,14,,40,0,,14,1,2,3,2,0,,0,,,3,0,141
Denmark,27,33,12,8,136,22,8,85,3,0,,,32,28,28,42,102,52,32,,652
Djibouti,,,,,,,,,,,,,,,5,,1,,,8,13
Dominican Republic,,5,0,8,35,,,,,,,,,,,1,0,,,,50
DR Congo,,,,,,,,,,28,,,,,,,,,,,28
Ecuador,,,0,,,4,,,,1,10,,,,,,,,,,14
Egypt,823,794,477,345,500,607,472,396,263,82,249,160,177,494,182,593,226,208,179,48,7273
El Salvador,,,19,10,,,,,,,,,2,,,,,,,,31
Equatorial Guinea,,,,,,,,1,,2,,,5,,10,,,,,,18
Estonia,,,1,11,,,,,,,,,,,,2,2,2,,2,19
Ethiopia,,,,,,,,,,,,,,,10,,,,10,,19
Finland,467,,5,,,,,,9,9,11,2,,50,44,98,65,34,76,16,886
France,70,66,20,17,78,2,2,,2,,51,23,39,55,17,17,32,54,49,56,648
Gabon,,,,,,,,,,,1,,,,,,,,,,1
Georgia,,6,,,,,,,2,4,,,,,1,,,7,4,4,29
Germany,73,99,42,22,88,51,9,9,262,319,255,35,25,43,46,5,5,3,2,13,1405
Ghana,,8,,,,,,2,,,,2,2,,4,,,,,,18
