Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Afghanistan,,,34,,,35,3,41,150,344,377,660,521,235,288,116,176,252,361,391,3984
African Union**,,,,,,53,9,,10,,,,,2,,2,,,0,4,79
Albania,,,,2,,7,,5,,,,,15,7,7,7,,4,1,5,59
Algeria,408,542,249,195,242,159,340,509,1529,1075,834,1126,663,362,616,896,2899,962,1253,140,15001
Angola,147,156,148,48,8,39,7,31,29,20,,,,31,2,47,142,108,270,166,1399
Argentina,213,6,15,11,169,3,9,24,23,11,11,15,3,12,7,21,17,43,25,53,693
Armenia,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,614
Australia,338,1236,663,801,472,459,727,677,445,777,1511,1559,868,236,919,1464,1025,1671,1575,1399,18821
Austria,25,15,69,42,56,24,4,269,190,286,7,8,8,6,2,1,13,8,4,14,1050
Azerbaijan,3,,89,,4,53,159,213,33,145,155,557,339,404,612,335,274,275,322,25,3997
Bahamas,33,,,,,3,,,,1,,,,,30,16,20,12,,,114
Bahrain,299,28,54,1,10,66,63,26,20,,103,1,26,72,1,17,26,28,65,16,921
Bangladesh,203,280,33,8,32,10,221,88,13,,36,117,184,645,206,632,443,322,149,743,4364
Barbados,,,,,,,,10,10,10,,,,,,,,,,,30
Belarus,,,,,,6,140,,,3,,75,75,75,66,96,115,147,142,331,1271
Belgium,35,29,48,21,15,3,27,174,203,91,32,21,33,46,104,56,4,7,1,5,955
Belize,1,,,,,,,,,,,,,,,,,,,,1
Benin,,,7,,,,,3,,1,0,0,20,2,,,,,,,33
Bhutan,,,,,0,,,,,,,,,,,1,1,,,,2
Bolivia,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,199
Botswana,53,15,1,10,9,,,,,13,10,,6,8,,,5,3,4,2,138
Brazil,121,631,223,110,86,224,179,189,180,156,311,306,328,223,209,219,109,100,272,169,4346
Brunei,,4,1,0,0,1,2,,,33,33,229,22,15,122,36,,,,,498
Bulgaria,,,,2,12,132,22,48,116,119,8,29,5,,,3,,,,2,497
Burkina Faso,,,,,,12,3,4,,2,0,15,4,,5,,7,2,23,7,83
Burundi,,1,3,,,,,,,1,2,,5,,,1,2,,,,15
Cabo Verde,1,,,,,,,,,2,,,10,,,,,,,3,15
Cambodia,,,,,,,14,56,,4,34,,77,67,,,,,5,2,259
Cameroon,,7,6,,,5,2,,1,,10,,9,139,122,9,20,8,2,15,353
Canada,570,538,436,152,353,118,105,446,398,101,228,336,197,202,316,408,233,334,157,200,5829
Central African Republic,,,,,,,9,,0,,,7,,,,,,,1,,18
Chad,,16,,,,,17,20,75,35,38,1,4,59,58,1,2,6,3,1,336
Chile,202,60,74,187,70,449,1095,662,397,335,475,326,62,54,141,144,40,50,70,15,4908
China,2521,2819,2875,2342,3284,3582,2862,1654,1856,1387,1020,1088,1604,1323,1063,1267,1142,1371,1633,887,37579
Colombia,60,268,171,147,18,16,52,227,110,248,255,145,207,164,160,205,21,99,16,10,2599
Comoros,,,,,,,,,6,,,,1,,,,,,,,7
Congo,0,,,,,4,1,0,,1,27,,23,12,13,2,,,,,83
Costa Rica,,,,,,,,,,,,,1,,1,,,,,,2
Cote d'Ivoire,0,,31,61,9,,,,,,,,,,5,5,5,14,9,14,154
Croatia,,57,2,24,8,,,19,99,4,11,19,19,,27,11,20,13,2,5,340
Cuba,,,,,8,,,,,,,,,,,,,,,,8
Cyprus,4,115,1,6,16,20,26,17,,,44,41,6,,,,,30,,0,325
Czechia,13,57,42,94,7,594,45,10,23,6,13,71,22,15,,0,,,7,8,1026
